0,1,2,3,4,5,6,7
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,38.09600067,-92.54949951,America/Chicago,A
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.78510094,40.09999847,Asia/Riyadh,U
AJK,Arak Airport,Arak,Iran,34.13809967,49.84730148,Asia/Tehran,E
AJN,Ouani Airport,Anjouan,Comoros,-12.13169956,44.43030167,Indian/Comoro,U
AJU,Santa Maria Airport,Aracaju,Brazil,-10.98400021,-37.07030106,America/Fortaleza,S
AKA,Ankang Wulipu Airport,Ankang,China,32.708099,108.931,Asia/Shanghai,U
AKC,Akron Fulton International Airport,Akron,United States,41.03749847,-81.46690369,America/New_York,A
AKF,Kufra Airport,Kufra,Libya,24.17869949,23.31399918,Africa/Tripoli,N
AKI,Akiak Airport,Akiak,United States,60.902900700000004,-161.2310028,America/Anchorage,A
AKK,Akhiok Airport,Akhiok,United States,56.93870163,-154.1829987,America/Anchorage,A
AKN,King Salmon Airport,King Salmon,United States,58.67679977,-156.6490021,America/Anchorage,A
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,68.13359833,-151.7429962,America/Anchorage,A
AKS,Gwaunaru'u Airport,Auki,Solomon Islands,-8.70257,160.682007,Pacific/Guadalcanal,U
AKU,Aksu Airport,Aksu,China,41.262501,80.291702,Asia/Shanghai,U
AKW,Aghajari Airport,Aghajari,Iran,30.7444,49.6772,Asia/Tehran,E
AKY,Sittwe Airport,Sittwe,Burma,20.13269997,92.87259674,Asia/Rangoon,U
ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,America/New_York,A
ALE,Alpine Casparis Municipal Airport,Alpine,United States,30.38419914,-103.6839981,-,A
ALG,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994,Africa/Algiers,N
ALI,Alice International Airport,Alice,United States,27.74090004,-98.02690125,America/Chicago,A
ALL,Villanova D'Albenga International Airport,Albenga,Italy,44.050598,8.12743,Europe/Rome,E
ALN,St Louis Regional Airport,Alton/St Louis,United States,38.89030075,-90.04599762,-,-
ALP,Aleppo International Airport,Aleppo,Syria,36.18069839,37.22439957,Asia/Damascus,E
ALS,San Luis Valley Regional Bergman Field,Alamosa,United States,37.434898,-105.866997,America/Denver,A
ALW,Walla Walla Regional Airport,Walla Walla,United States,46.09489822,-118.288002,America/Los_Angeles,A
ALY,El Nouzha Airport,Alexandria,Egypt,31.18390083,29.94890022,Africa/Cairo,U
AMB,Ambilobe Airport,Ambilobe,Madagascar,-13.18840027,48.98799896,Indian/Antananarivo,U
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.07719994,72.63469696,Asia/Calcutta,N
AMI,Selaparang Airport,Mataram,Indonesia,-8.560709953,116.0950012,Asia/Makassar,N
AMN,Gratiot Community Airport,Kamloops,Canada,43.32210159,-84.68800354,-,A
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,Europe/Amsterdam,E
AMV,Amderma Airport,Amderma,Russia,69.76329803,61.5564003,Europe/Moscow,N
ANB,Anniston Regional Airport,Anniston,United States,33.5882,-85.8581,America/Chicago,A
AND,Anderson Regional Airport,Andersen,United States,34.49459839,-82.70939636,America/New_York,A
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,Chile,-23.444501,-70.445099,America/Santiago,S
ANI,Aniak Airport,Aniak,United States,61.58160019,-159.5429993,America/Anchorage,A
ANM,Antsirabato Airport,Antalaha,Madagascar,-14.99940014,50.32020187,Indian/Antananarivo,U
ANP,Lee Airport,Annapolis,United States,38.942902,-76.568398,America/New_York,A
ANR,Antwerp International Airport (Deurne),Antwerp,Belgium,51.18939972,4.460279942,Europe/Brussels,E
ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702,America/Antigua,U
ANX,Andøya Airport,Andoya,Norway,69.29250336,16.14419937,Europe/Oslo,E
AOE,Anadolu Airport,Eskissehir,Turkey,39.809898,30.5194,Europe/Istanbul,E
AOH,Lima Allen County Airport,Lima,United States,40.706902,-84.026703,America/New_York,A
AOJ,Aomori Airport,Aomori,Japan,40.73469925,140.6909943,Asia/Tokyo,U
AOL,Paso De Los Libres Airport,Paso De Los Libres,Argentina,-29.6894,-57.1521,America/Cordoba,N
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,-2.796129942,-76.46659851,America/Lima,U
AOT,Aosta Airport,Aosta,Italy,45.738499,7.36872,Europe/Rome,E
APA,Centennial Airport,Denver,United States,39.57009888,-104.848999,America/Denver,A
APF,Naples Municipal Airport,Naples,United States,26.15259933,-81.77529907,America/New_York,A
API,Gomez Nino Apiay Air Base,Apiay,Colombia,4.07607,-73.5627,-,-
APL,Nampula Airport,Nampula,Mozambique,-15.10560036,39.28179932,Africa/Maputo,U
APO,Antonio Roldan Betancourt Airport,Carepa,Colombia,7.81196,-76.7164,America/Bogota,U
APT,Marion County Brown Field,Jasper,United States,35.060699,-85.585297,-,A
APZ,Zapala Airport,ZAPALA,Argentina,-38.975498,-70.113602,America/Argentina/Salta,N
AQB,Santa Cruz del Quiche Airport,Santa Cruz des Quiche,Guatemala,15.01220036,-91.15059662,America/Guatemala,S
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,28.335199,46.125099,Asia/Riyadh,U
AQP,Rodríguez Ballón International Airport,Arequipa,Peru,-16.34110069,-71.58309937,America/Lima,U
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States,42.22299957,-83.74559784,America/New_York,A
ARD,Mali Airport,Alor Island,Indonesia,-8.132340431,124.5970001,Asia/Makassar,N
ARH,Talagi Airport,Arkhangelsk,Russia,64.60030365,40.71670151,Europe/Moscow,N
ARK,Arusha Airport,Arusha,Tanzania,-3.367789984,36.63330078,Africa/Dar_es_Salaam,U
ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,59.65190125,17.91860008,Europe/Stockholm,E
ART,Watertown International Airport,Watertown,United States,43.9919014,-76.021698,America/New_York,A
ARV,Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,45.92789841,-89.73090363,America/Chicago,A
ARY,Ararat Airport,,Australia,-37.30939865,142.9889984,-,-
ASB,Ashgabat International Airport,Ashkhabad,Turkmenistan,37.986801,58.361,Asia/Ashgabat,U
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,United States,39.22320175,-106.8690033,America/Denver,A
ASH,Boire Field,Nashua,United States,42.78170013,-71.51480103,America/New_York,A
ASJ,Amami Airport,Amami,Japan,28.43059921,129.7129974,Asia/Tokyo,U
ASM,Asmara International Airport,Asmara,Eritrea,15.29189968,38.91070175,Africa/Asmera,U
ASO,Asosa Airport,Asosa,Ethiopia,10.01850033,34.5862999,Africa/Addis_Ababa,U
ASR,Kayseri Erkilet Airport,Kayseri,Turkey,38.770401,35.49539948,Europe/Istanbul,E
AST,Astoria Regional Airport,Astoria,United States,46.15800095,-123.8789978,America/Los_Angeles,A
ASV,Amboseli Airport,Amboseli National Park,Kenya,-2.645050049,37.25310135,Africa/Nairobi,U
ATA,Comandante FAP German Arias Graziani Airport,Anta,Peru,-9.347439766,-77.5983963,America/Lima,U
ATC,Arthur's Town Airport,Arthur's Town,Bahamas,24.6294,-75.673797,America/Nassau,U
ATF,Chachoán Airport,Ambato,Ecuador,-1.212069988,-78.57460022,America/Guayaquil,U
ATH,Eleftherios Venizelos International Airport,Athens,Greece,37.93640137,23.94449997,Europe/Athens,E
ATJ,Antsirabe Airport,Antsirabe,Madagascar,-19.83922148,47.06371307,Indian/Antananarivo,U
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,America/New_York,A
ATO,Ohio University Snyder Field,Athens,United States,39.21099854,-82.23139954,America/New_York,U
ATR,Atar International Airport,Atar,Mauritania,20.5067997,-13.04319954,Africa/Nouakchott,N
ATY,Watertown Regional Airport,Watertown,United States,44.91400146,-97.15470123,America/Chicago,A
AUA,Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.015198,America/Aruba,U
AUF,Auxerre-Branches Airport,Auxerre,France,47.85020065,3.49710989,Europe/Paris,E
AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,Asia/Dubai,U
AUO,Auburn University Regional Airport,Auburn,United States,32.615101,-85.433998,America/Chicago,A
AUR,Aurillac Airport,Aurillac,France,44.89139938,2.421940088,Europe/Paris,E
AUU,Aurukun Airport,Aurukun,Australia,-13.354067,141.72065,Australia/Brisbane,O
AUX,Araguaína Airport,Araguaina,Brazil,-7.22787,-48.240501,America/Fortaleza,S
AVA,Anshun Huangguoshu Airport,Anshun,China,26.26055556,105.8733333,Asia/Shanghai,N
AVI,Maximo Gomez Airport,Ciego De Avila,Cuba,22.02709961,-78.78959656,America/Havana,U
AVL,Asheville Regional Airport,Asheville,United States,35.43619919,-82.54180145,America/New_York,A
AVO,Avon Park Executive Airport,Avon Park,United States,27.59119987,-81.52780151,America/New_York,A
AVR,Alverca Air Base,Alverca,Portugal,38.883301,-9.0301,Europe/Lisbon,E
AVW,Marana Regional Airport,Tucson,United States,32.409599299999996,-111.2180023,America/Phoenix,U
AWA,Awassa Airport,Awasa,Ethiopia,7.066999912,38.5,Africa/Addis_Ababa,U
AWK,Wake Island Airfield,Wake island,Wake Island,19.28210068,166.6360016,Pacific/Johnston,U
AXA,Clayton J Lloyd International Airport,The Valley,Anguilla,18.2048,-63.055099,America/Anguilla,U
AXF,Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,38.74831,105.58858,-,N
AXK,Ataq Airport,Ataq,Yemen,14.55130005,46.82619858,Asia/Aden,U
AXN,Chandler Field,Alexandria,United States,45.86629868,-95.3946991,-,-
AXR,Arutua Airport,Arutua,French Polynesia,-15.2482996,-146.6170044,Pacific/Tahiti,U
AXU,Axum Airport,Axum,Ethiopia,14.14680004,38.77280045,Africa/Addis_Ababa,U
AYO,Juan De Ayolas Airport,Ayolas,Paraguay,-27.370554,-56.854064,America/Asuncion,S
AYQ,Ayers Rock Connellan Airport,Uluru,Australia,-25.1861,130.975998,Australia/Darwin,N
AYT,Antalya International Airport,Antalya,Turkey,36.898701,30.800501,Europe/Istanbul,E
AZA,Phoenix-Mesa-Gateway Airport,Mesa,United States,33.30780029,-111.6549988,America/Phoenix,N
AZI,Bateen Airport,Abu Dhabi,United Arab Emirates,24.42830086,54.45809937,Asia/Dubai,U
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,42.23490143,-85.55210114,America/New_York,A
AZS,Samaná El Catey International Airport,Samana,Dominican Republic,19.2670002,-69.74199677,America/Santo_Domingo,U
BAD,Barksdale Air Force Base,Shreveport,United States,32.50180054,-93.66269684,America/Chicago,A
BAG,Loakan Airport,Baguio,Philippines,16.37509918,120.6200027,Asia/Manila,N
BAI,Buenos Aires Airport,Buenos Aires,Costa Rica,9.163949,-83.330171,America/Costa_Rica,U
BAQ,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,America/Bogota,U
BAS,Ballalae Airport,Ballalae,Solomon Islands,-6.990745,155.886656,Pacific/Guadalcanal,U
BAU,Bauru Airport,Bauru,Brazil,-22.34499931,-49.05379868,America/Sao_Paulo,S
BAX,Barnaul Airport,Barnaul,Russia,53.36380005,83.53849792,Asia/Krasnoyarsk,N
BAZ,Barcelos Airport,Barcelos,Brazil,-0.981292,-62.919601,America/Boa_Vista,S
BBC,Bay City Municipal Airport,Bay City,United States,28.97330093,-95.8635025,-,A
BBG,Butaritari Atoll Airport,Butaritari,Kiribati,3.08583,172.811005,Pacific/Tarawa,U
BBI,Biju Patnaik Airport,Bhubaneswar,India,20.24440002,85.81780243,Asia/Calcutta,N
BBK,Kasane Airport,Kasane,Botswana,-17.83289909,25.16239929,Africa/Gaborone,U
BBM,Battambang Airport,Battambang,Cambodia,13.09560013,103.223999,Asia/Phnom_Penh,U
BBO,Berbera Airport,Berbera,Somalia,10.38920021,44.94110107,Africa/Mogadishu,U
BBQ,Codrington Airport,Codrington,Antigua and Barbuda,17.635799,-61.828602,America/Antigua,U
BBS,Blackbushe Airport,Blackbushe,United Kingdom,51.32389832,-0.847500026,Europe/London,E
BBU,Băneasa International Airport,Bucharest,Romania,44.50320053,26.10210037,Europe/Bucharest,E
BCA,Gustavo Rizo Airport,Baracoa Playa,Cuba,20.36529922,-74.5062027,America/Havana,U
BCE,Bryce Canyon Airport,Bryce Canyon,United States,37.70640183,-112.1449966,America/Denver,A
BCI,Barcaldine Airport,Barcaldine,Australia,-23.56529999,145.3070068,Australia/Brisbane,O
BCM,Bacău Airport,Bacau,Romania,46.52190018,26.9102993,Europe/Bucharest,E
BCO,Baco Airport,Baco,Ethiopia,5.78287,36.562,Africa/Addis_Ababa,U
BCU,Sir Abubakar Tafawa Balewa International Airport,Bauchi,Nigeria,10.482833,9.744,-,N
BDB,Bundaberg Airport,Bundaberg,Australia,-24.90390015,152.3190002,Australia/Brisbane,O
BDE,Baudette International Airport,Baudette,United States,48.72840118,-94.61219788,America/Chicago,A
BDI,Bird Island Airport,Bird Island,Seychelles,-3.72472,55.205299,-,U
BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,America/New_York,A
BDN,Talhar Airport,Talhar,Pakistan,24.84149933,68.83840179,Asia/Karachi,N
BDP,Bhadrapur Airport,Chandragarhi,Nepal,26.57080078,88.07959747,Asia/Katmandu,N
BDR,Igor I Sikorsky Memorial Airport,Stratford,United States,41.16350174,-73.12619781,America/New_York,A
BDT,Gbadolite Airport,Gbadolite,Congo (Kinshasa),4.253210068,20.97529984,Africa/Kinshasa,N
BEB,Benbecula Airport,Benbecula,United Kingdom,57.48109818,-7.362780094,Europe/London,E
BED,Laurence G Hanscom Field,Bedford,United States,42.47000122,-71.28900146,America/New_York,A
BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia,44.81840134,20.3090992,Europe/Belgrade,E
BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,2.1555,117.431999,Asia/Makassar,N
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,-1.37925005,-48.47629929,America/Belem,S
BEN,Benina International Airport,Benghazi,Libya,32.09680176,20.26950073,Africa/Tripoli,N
BEP,Bellary Airport,Bellary,India,15.16279984,76.88279724,Asia/Calcutta,N
BES,Brest Bretagne Airport,Brest,France,48.44789886,-4.418540001,Europe/Paris,E
BEU,Bedourie Airport,Bedourie,Australia,-24.34609985,139.4600067,Australia/Brisbane,O
BEW,Beira Airport,Beira,Mozambique,-19.79640007,34.9076004,Africa/Maputo,U
BEY,Beirut Rafic Hariri International Airport,Beirut,Lebanon,33.82089996,35.48839951,Asia/Beirut,E
BFD,Bradford Regional Airport,Bradford,United States,41.80310059,-78.64009857,America/New_York,A
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,41.87400055,-103.5960007,America/Denver,A
BFI,Boeing Field King County International Airport,Seattle,United States,47.52999878,-122.302002,America/Los_Angeles,A
BFK,Buckley Air Force Base,Buckley,United States,39.7016983,-104.7519989,America/Denver,A
BFM,Mobile Downtown Airport,Mobile,United States,30.62680054,-88.06809998,America/Chicago,A
BFO,Buffalo Range Airport,Chiredzi,Zimbabwe,-21.008101,31.5786,Africa/Harare,U
BFS,Belfast International Airport,Belfast,United Kingdom,54.65750122,-6.215829849,Europe/London,E
BFU,Bengbu Airport,Bengbu,China,32.84773333,117.3202444,-,-
BFW,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,35.17179871,-0.593275011,Africa/Algiers,N
BGA,Palonegro Airport,Bucaramanga,Colombia,7.1265,-73.1848,America/Bogota,U
BGD,Hutchinson County Airport,Borger,United States,35.70090103,-101.3939972,-,A
BGF,Bangui M'Poko International Airport,Bangui,Central African Republic,4.398479939,18.51880074,Africa/Bangui,N
BGI,Sir Grantley Adams International Airport,Bridgetown,Barbados,13.07460022,-59.49250031,America/Barbados,U
BGM,Greater Binghamton/Edwin A Link field,Binghamton,United States,42.20869827,-75.97979736,America/New_York,A
BGO,Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,Europe/Oslo,E
BGW,Baghdad International Airport,Baghdad,Iraq,33.26250076,44.23460007,Asia/Baghdad,U
BGY,Il Caravaggio International Airport,Bergamo,Italy,45.673901,9.70417,Europe/Rome,E
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,United States,44.45000076,-68.3615036,America/New_York,A
BHE,Woodbourne Airport,Woodbourne,New Zealand,-41.5182991,173.8699951,Pacific/Auckland,Z
BHH,Bisha Airport,Bisha,Saudi Arabia,19.9843998,42.6208992,Asia/Riyadh,U
BHJ,Bhuj Airport,Bhuj,India,23.28779984,69.67019653,Asia/Calcutta,N
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,America/Chicago,A
BHO,Raja Bhoj International Airport,Bhopal,India,23.28750038,77.33740234,Asia/Calcutta,N
BHQ,Broken Hill Airport,Broken Hill,Australia,-32.00139999,141.4720001,Australia/Adelaide,O
BHS,Bathurst Airport,Bathurst,Australia,-33.40940094,149.6519928,Australia/Sydney,O
BHV,Bahawalpur Airport,Bahawalpur,Pakistan,29.34810066,71.71800232,Asia/Karachi,N
BHX,Birmingham International Airport,Birmingham,United Kingdom,52.45389938,-1.748029947,Europe/London,E
BIA,Bastia-Poretta Airport,Bastia,France,42.55270004,9.483730316,Europe/Paris,E
BID,Block Island State Airport,Block Island,United States,41.16809845,-71.57779694,America/New_York,A
BIG,Allen Army Airfield,Delta Junction,United States,63.99449921,-145.7220001,America/Anchorage,A
BIK,Frans Kaisiepo Airport,Biak,Indonesia,-1.190019965,136.1080017,Asia/Jayapura,N
BIM,South Bimini Airport,Alice Town,Bahamas,25.69989967,-79.26470184,America/Nassau,U
BIO,Bilbao Airport,Bilbao,Spain,43.30110168,-2.910609961,Europe/Madrid,E
BIR,Biratnagar Airport,Biratnagar,Nepal,26.48150063,87.26399994,Asia/Katmandu,N
BIU,Bildudalur Airport,Bildudalur,Iceland,65.64129639,-23.5461998,Atlantic/Reykjavik,N
BIY,Bisho Airport,Bisho,South Africa,-32.89709854,27.27910042,Africa/Johannesburg,U
BJB,Bojnord Airport,Bojnourd,Iran,37.49300003,57.30820084,Asia/Tehran,E
BJF,Båtsfjord Airport,Batsfjord,Norway,70.60050201,29.69140053,Europe/Oslo,E
BJI,Bemidji Regional Airport,Bemidji,United States,47.50939941,-94.93370056,America/Chicago,A
BJM,Bujumbura International Airport,Bujumbura,Burundi,-3.324019909,29.31850052,Africa/Bujumbura,U
BJP,Estadual Arthur Siqueira Airport,Braganca Paulista,Brazil,-22.979162,-46.537508,America/Sao_Paulo,S
BJU,Bajura Airport,Bajura,Nepal,29.50200081,81.66899872,Asia/Katmandu,N
BJW,Bajawa Soa Airport,Bajawa,Indonesia,-8.70743498,121.0574269,-,U
BJY,Batajnica Air Base,Batajnica,Serbia,44.935299,20.2575,-,-
BKA,Bykovo Airport,Moscow,Russia,55.61719894,38.06000137,Europe/Moscow,N
BKC,Buckland Airport,Buckland,United States,65.9815979,-161.1490021,America/Anchorage,A
BKE,Baker City Municipal Airport,Baker City,United States,44.83729935,-117.8089981,-,-
BKH,Barking Sands Airport,Barking Sands,United States,22.02280045,-159.7850037,Pacific/Honolulu,A
BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016,Asia/Bangkok,U
BKM,Bakalalan Airport,Bakalalan,Malaysia,3.973999977,115.6179962,Asia/Kuala_Lumpur,N
BKQ,Blackall Airport,Blackall,Australia,-24.42779922,145.4290009,Australia/Brisbane,O
BKW,Raleigh County Memorial Airport,Beckley,United States,37.78730011,-81.12419891,America/New_York,A
BKZ,Bukoba Airport,Bukoba,Tanzania,-1.332,31.8212,Africa/Dar_es_Salaam,U
BLB,Panama Pacific International Airport,Howard,Panama,8.91479,-79.599602,America/Panama,U
BLF,Mercer County Airport,Bluefield,United States,37.29579926,-81.20770264,America/New_York,A
BLH,Blythe Airport,Blythe,United States,33.61920166,-114.7170029,America/Los_Angeles,A
BLJ,Batna Airport,Batna,Algeria,35.7521019,6.308589935,Africa/Algiers,N
BLL,Billund Airport,Billund,Denmark,55.74029922,9.151780128,Europe/Copenhagen,E
BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,44.5354,11.2887,Europe/Rome,E
BLT,Blackwater Airport,Blackwater,Australia,-23.60309982,148.8070068,Australia/Brisbane,O
BLZ,Chileka International Airport,Blantyre,Malawi,-15.67910004,34.97399902,Africa/Blantyre,U
BMB,Bumbar Airport,Bumba,Congo (Kinshasa),2.18278,22.481701,-,U
BMD,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Madagascar,-19.68670082,44.54190063,Indian/Antananarivo,U
BMG,Monroe County Airport,Bloomington,United States,39.14599991,-86.61669922,America/New_York,A
BMK,Borkum Airport,Borkum,Germany,53.59639,6.709167,Europe/Berlin,E
BMO,Banmaw Airport,Banmaw,Burma,24.2689991,97.24620056,Asia/Rangoon,U
BMR,Baltrum Airport,Baltrum,Germany,53.72472382,7.373332977,-,E
BMU,Muhammad Salahuddin Airport,Bima,Indonesia,-8.539649963,118.6869965,Asia/Makassar,N
BMW,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,21.375,0.923888981,Africa/Algiers,N
