Name,IATA,ICAO,Country,Active
Centralwings,C0,CLW,Poland,Y
Centre Airlines,,DTV,United States,N
Centre of Applied Geodynamica,,CGS,Russia,N
Centre-Avia,J7,CVC,Russia,N
Centro De Helicopteros Corporativos,,CCV,Mexico,N
Centro de Formacion Aeronautica de Canarias,,ACF,Spain,N
Centurion Air Cargo,WE,CWC,United States,N
Century Aviation,,URY,Mexico,N
Century Aviation International,,HAI,Canada,N
Certified Air Dispatch,,XAD,United States,N
Cetraca Aviation Service,,CER,Democratic Republic of the Congo,N
Chabahar Airlines,,IRU,Iran,N
Chalair Aviation,,CLG,France,N
Chalk's Ocean Airways,OP,CHK,United States,N
Challenge Air Transport,,CLS,Germany,N
Challenge Aviation,,CHS,Australia,N
Challenge International Airlines,,OFF,United States,N
AC Challenge Aero,,CHG,Ukraine,N
Champagne Airlines,,CPH,France,N
Champion Air,MG,CCP,United States,N
Chanchangi Airlines,,NCH,Nigeria,N
Changan Airlines,2Z,CGN,China,N
Channel Island Aviation,,CHN,United States,N
Chantilly Air,,WML,United States,N
Chaparral Airlines,,CPL,United States,N
Chari Aviation Services,S8,CSU,Chad,N
Charlan Air Charter,,CAH,South Africa,N
Charlie Hammonds Flying Service,,HMD,United States,N
Charlotte Air National Guard,,CGD,United States,N
Charter Air,,CHW,Austria,Y
Chartright Air,,HRT,Canada,N
Chautauqua Airlines,RP,CHQ,United States,Y
Cheboksary Airenterprise JSC,,CBB,Russia,N
Chemech Aviation,,CHM,Pakistan,N
Cherline,,CHZ,Russia,N
Chernomor-Avia,,CMK,Russia,N
Cherokee Express,,CBM,United States,N
Cherry Air,,CCY,United States,N
Chesapeake Air Service,,CAB,United States,N
Chevron U.S.A,,CVR,United States,N
Cheyenne Airways,,CYA,United States,N
Chicago Air,,CGO,United States,N
Chicago Express,C8,WDY,United States,N
Chief Rat Flight Services,,RAT,South Africa,N
Chilchota Taxi Aereo,,CCH,Mexico,N
Chilcotin Caribou Aviation,,DES,Canada,N
Chilliwack Aviation,,CAD,Canada,N
Chim-Nir Aviation,,ETN,Israel,N
China Airlines,CI,CAL,Taiwan,Y
China Cargo Airlines,CK,CKK,China,N
China Eastern Airlines,MU,CES,China,Y
China Express Airlines,,HXA,China,N
China Flying Dragon Aviation,,CFA,China,N
China General Aviation Corporation,,CTH,China,N
China National Aviation Corporation,,CAG,China,N
China Northern Airlines,CJ,CBF,China,N
China Northwest Airlines,WH,CNW,China,N
China Ocean Helicopter Corporation,,CHC,China,N
China Postal Airlines,8Y,CYZ,China,N
China Southern Airlines,CZ,CSN,China,Y
China Southwest Airlines,,CXN,China,N
China United Airlines,HR,CUA,China,Y
China Xinhua Airlines,XO,CXH,China,N
Yunnan Airlines,3Q,CYH,China,Y
Chinguetti Airlines,,CGU,Mauritania,N
Chipola Aviation,,CEP,United States,N
Chippewa Air Commuter,,CPW,United States,N
Chitaavia,X7,CHF,Russia,N
Christman Air System,,CAS,United States,N
Christophorus Flugrettungsverein,,OEC,Austria,N
Chrome Air Services,,CHO,United States,N
Church Aircraft,,CHU,United States,N
Cielos Airlines,A2,CIU,Peru,N
Cimber Air,QI,CIM,Denmark,Y
Cirrus,,RRU,Chile,N
Cirrus Air,,NTS,United States,N
Cirrus Airlines,C9,RUS,Germany,Y
Cirrus Middle East,,JTI,Lebanon,N
Citationshares,,FIV,United States,N
Citibank,,XCX,United States,N
Citic General Aviation,,HZX,China,N
City Airline,CF,SDR,Sweden,Y
City Connexion Airlines,G3,CIX,Burundi,Y
City of Bangor,,XBG,United States,N
CityJet,WX,BCY,Ireland,Y
Cityair (Chester) Limited,,CAQ,United Kingdom,N
Cityfly,,CII,Italy,N
BA CityFlyer,CJ,CFE,United Kingdom,Y
Cityline Hungary,,CNB,Hungary,N
Citylink Airlines,,HSR,United States,N
Civair Airways,,CIW,South Africa,N
Civil Air Patrol South Carolina Wing,,BKR,United States,N
Civil Air Transport,CT,CAT,Taiwan,N
Civil Aviation Authority,,CIA,Slovakia,N
Civil Aviation Authority of New Zealand,,CIV,New Zealand,N
Civil Aviation Inspectorate of the Czech Republic,,CBA,Czech Republic,N
Claessens International Limited,,FMC,United Kingdom,N
Clark Aviation,,CLK,United States,N
Clasair,,CSF,United Kingdom,N
Clay Lacy Aviation,,CLY,United States,N
Click Airways,,CGK,Kyrgyzstan,Y
Cloud 9 Air Charters,,CLZ,South Africa,N
Clowes Estates Limited,,CLD,United Kingdom,N
Club 328,,SDJ,United Kingdom,N
Club Air,6P,ISG,Italy,N
Coast Air,BX,CST,Norway,N
Coastal Air,DQ,,United States,Y
Coastal Air Transport,,TCL,United States,N
Coastal Airways,,CNG,United States,N
Coastal Travels,,CSV,Tanzania,N
Cohlmia Aviation,,CHL,United States,N
Colaereos,,OLR,Ecuador,N
Colemill Enterprises,,CLE,United States,N
Colgan Air,9L,CJC,United States,Y
Colibri Aviation,,CAE,Canada,N
Colt International,,CCX,United States,N
Columbia Airlines,,COL,Canada,N
Columbia Helicopters,,WCO,United States,N
Columbus Air Transport,,KLR,United States,N
Colvin Aviation,,GHP,United States,N
Comair,OH,COM,United States,Y
Comair,MN,CAW,South Africa,Y
Comed Group,,CDE,United Kingdom,N
Comeravia,,CVV,Venezuela,N
Comercial Aerea,,CRS,Mexico,N
Comet Airlines,,CMG,Nigeria,N
Comfort Air,,FYN,Germany,N
Comlux Aviation,,CLA,Switzerland,N
Commair Aviation,,CMH,United Kingdom,N
Commandement Du Transport Aerien Militaire Francais,,CTM,France,N
Commander Air Charter,,CML,Canada,N
Commander Mexicana,,CRM,Mexico,N
Commercial Aviation,,CMS,Canada,N
Commodore Aviation,,GAR,Australia,N
Commonwealth Jet Service,,CJS,United States,N
CommutAir,C5,UCA,United States,Y
Comores Airlines,KR,CWK,Comoros,Y
Compagnia Generale Ripreseaeree,,CGR,Italy,N
Compagnie Aerienne du Mali,,CMM,Mali,N
Compagnie Mauritanienne Des Transports,,CPM,Mauritania,N
Compagnie de Bauxites de Guinee,,GIC,Guinea,N
Compania Aerea de Valencia,,AIF,Spain,N
Compania Aerotecnicas Fotograficas,,ATF,Spain,N
Compania Boliviana de Transporte Aereo Privado Aerosur,,ASU,ASUR,N
Compania De Actividades Y Servicios De Aviacion,,LCT,Spain,N
Compania Ejecutiva,,EJV,Mexico,N
Compania Helicopteros Del Sureste,,HSE,Spain,N
Compania Mexicana De Aeroplanos,,MDR,Mexico,N
Compania Mexicargo,GJ,MXC,Mexico,N
Compania Transportes Aereos Del Sur,,HSS,Spain,N
Compania de Servicios Aereos Tavisa,,TAV,Spain,N
Company Flight,,CYF,Denmark,N
Compass Airlines,CP,CPZ,United States,Y
Compass International Airways,,CPS,United Kingdom,N
Compuflight Operations Service,,XCO,United States,N
Compuserve Incorporated,,XCS,United States,N
Conair Aviation,,CRC,Canada,N
Concordavia,,COD,Ukraine,N
Condor Aero Services,,CNR,United States,N
Condor,,CIB,Germany,N
Condor Flugdienst,DE,CFG,Germany,Y
Confort Air,,COF,Canada,N
Congo Air,,CAK,Bahamas,N
Congressional Air,,CGA,United States,N
Conifair Aviation,,ROY,Canada,N
Connectair Charters,,BSN,Canada,N
Conquest Airlines,,CAC,United States,N
Conroe Aviation Services,,CXO,United States,N
Consorcio Aviaxsa,6A,CHP,Mexico,Y
Consorcio Helitec,,VCH,Venezuela,N
Constanta Airline,,UZA,Ukraine,N
Contact Air,C3,KIS,Germany,Y
Contel ASC,,XCL,United States,N
Continental Airlines,CO,COA,United States,Y
Continental Airways,PC,PVV,Russia,N
Continental Express,CO,,United States,Y
Continental Micronesia,CS,CMI,United States,Y
Continental Oil,,CON,United States,N
Conviasa,V0,VCV,Venezuela,Y
Cook Inlet Aviation,,CKA,United States,N
Cooper Aerial Surveys,,SVY,United Kingdom,N
Copa Airlines,CM,CMP,Panama,Y
Copenhagen Airtaxi,,CAT,Denmark,N
Copper State Air Service,,COP,United States,N
Copterline,,AAQ,Finland,Y
Coptrade Air Transport,,CCW,Sudan,N
Corendon Airlines,,CAI,Turkey,Y
Coronado Aerolineas,,CRA,Colombia,N
Corpac Canada,,CPB,Canada,N
Corporacion Aereo Cencor,,CNC,Mexico,N
Corporacion Aeroangeles,,CPG,Mexico,N
Corporacion Paraguaya De Aeronautica,,CGY,Paraguay,N
Corporate Air,,CPT,United States,N
Corporate Air,,CPR,United States,N
Corporate Aircraft Company,,CPO,United States,N
Corporate Airlink,,COO,Canada,N
Corporate Aviation Services,,CKE,United States,N
Corporate Flight International,,VHT,United States,N
Corporate Flight Management,,VTE,United States,N
Corporate Jets,,CJI,United States,N
Corsairfly,SS,CRL,France,Y
Corse-Mediterranee,XK,CCM,France,Y
Cosmic Air,F5,COZ,Nepal,N
Cougar Helicopters,,CHI,Canada,N
Coulson Flying Service,,MGB,United Kingdom,N
Country Connection Airlines,,NSW,Australia,N
Country International Airlines,,CIK,Kyrgyzstan,N
Courier Services,,CSD,United States,N
Court Helicopters,,CUT,South Africa,N
Coval Air,,CVL,Canada,N
Cowi,,COW,Netherlands,N
Coyne Aviation,,COY,United Kingdom,N
Cranfield University,,CFD,United Kingdom,N
Cree Airways,,CRE,Canada,N
Crelam,,ELM,Mexico,N
Crest Aviation,,CAN,United Kingdom,Y
Crimea Universal Avia,,KRM,Ukraine,N
Croatia Airlines,OU,CTN,Croatia,Y
Croatian Air Force,,HRZ,Croatia,N
Cross Aviation,,CRX,United Kingdom,N
Crossair Europe,QE,ECC,Switzerland,N
Crow Executive Air,,CWX,United States,N
Crown Air Systems,,CKR,United States,N
Crown Airways,,CRO,United States,Y
Crownair,,CRW,Canada,N
Cruiser Linhas Aereas,,VCR,Brazil,N
Cryderman Air Service,,CTY,United States,N
Crystal Shamrock,,CYT,United States,N
Cubana de Aviación,CU,CUB,Cuba,Y
Cumberland Airways (Nicholson Air Service),,CBL,United States,N
Custom Air Transport,,CTT,United States,N
Cygnus Air,,RGN,Spain,N
Cyprair Tours,,CYC,Cyprus,N
Cypress Airlines,,CYS,Canada,N
Cyprus Airways,CY,CYP,Cyprus,Y
Cyprus Turkish Airlines,YK,,Turkey,Y
Czech Air Force,,CEF,Czech Republic,N
Czech Air Handling,,AHD,Czech Republic,N
Czech Airlines,OK,CSA,Czech Republic,Y
Czech Government Flying Service,,CIE,Czech Republic,N
D & D Aviation,,DDA,United States,N
D&K Aviation,,DNK,United States,N
DAP Helicopteros,,DHE,Chile,N
DFS UK Limited,,VLF,United Kingdom,N
DAS Air Cargo,WD,DSR,Uganda,N
DAS Airlines,,RKC,Democratic Republic of the Congo,N
DAT Danish Air Transport,DX,DTR,Denmark,Y
DAT Enterprise Limited,,ENT,United Kingdom,N
DERA Boscombe Down,,BDN,United Kingdom,N
DESNA,,DSN,Ukraine,N
DETA Air,,DET,Kazakhstan,N
DGO Jet,,DGO,Mexico,N
DHL Aero Expreso,,DAE,Panama,N
DHL Air,,DHK,United Kingdom,N
DHL Aviation,,DHV,South Africa,N
DHL International,ES,DHX,Bahrain,N
DHL de Guatemala,L3,JOS,Guatemala,N
DSWA,,RSK,United States,N
Daallo Airlines,D3,DAO,Djibouti,Y
Dagestan Airlines,N2,DAG,Russia,N
Dahla Airlines,,DHA,Democratic Republic of Congo,N
Daimler Chrysler Aviation,,DCS,Germany,N
Daimler-Chrysler,,DCX,United States,N
Daka,,DKA,Kazakhstan,N
Dala Air Services,,DLR,Nigeria,N
Dalavia,H8,KHB,Russia,Y
Dallas Express Airlines,,DXP,United States,N
Damascene Airways,,DAS,Syrian Arab Republic,N
Danbury Airways,,DSA,United States,N
Dancopter,,DOP,Denmark,N
Danish Air Force,,DAF,Denmark,N
Danish Army,,DAR,Denmark,N
Danish Navy,,DNY,Denmark,N
Danu Oro Transportas,,DNU,Lithuania,N
Darta,,DRT,France,N
Darwin Airline,0D,DWT,Switzerland,Y
Dasab Airlines,,DSQ,Uganda,N
Dash Air Charter,,DSH,United States,N
Dash Aviation,,GOB,United Kingdom,N
Dasnair,,DGX,Switzerland,N
Dassault Aviation,,DAB,France,N
Dassault Falcon Jet Corporation,,CVF,United States,N
Dassault Falcon Service,,DSO,France,N
Data International,,DTN,Sudan,N
Date Transformation Corp,,XDT,United States,N
Dauair,D5,DAU,Germany,N
David Crawshaw Consultants Limited,,DCO,United Kingdom,N
Dawn Air,,DWN,United States,N
DayJet,,DJS,United States,N
Daya Aviation,,DAY,Sri Lanka,N
De Havilland,,DHC,Canada,N
Deadalos Flugtbetriebs,,IAY,Austria,N
Decatur Aviation,,DAA,United States,N
Deccan Aviation,,DKN,India,N
Deccan Aviation (Lanka),,DLK,Sri Lanka,N
Deer Jet,,DER,China,N
Deere and Company,,JDC,United States,N
Delaware Skyways,,DWR,United States,N
Delta Aerotaxi,,DEA,Italy,Y
Delta Air Charter,,SNO,Canada,N
Delta Air Elite,,ELJ,United States,N
Delta Air Lines,DL,DAL,United States,Y
Delta Engineering Aviation,,KMB,United Kingdom,N
Delta Express International,,DLI,Ukraine,N
Delta State University,,DSU,United States,N
Denim Air,,DNM,Netherlands,Y
Denver Express,,FEC,United States,N
Denver Jet,,DJT,United States,N
Departmento De Agricultura De La Generalitat De Cataluna,,FGC,Spain,N
Deraya Air Taxi,,DRY,Indonesia,N
Des R Cargo Express,,DRX,Mauritania,N
Desarrollo Milaz,,MIZ,Mexico,N
Destiny Air Services,,DTY,Sierra Leone,N
Deutsche Bahn,2A,,Germany,Y
Deutsche Rettungsflugwacht,1I,AMB,Germany,N
Deutsches Zentrum fur Luft-und Raumfahrt EV,,LFO,Germany,N
Di Air,,DIS,Serbia,N
Diamond Aviation,,SPK,United States,N
Didier Rousset Buy,,DRB,Chile,N
Digital Equipment Corporation,,DGT,United States,N
Dinar,D7,RDN,Argentina,N
Diplomatic Freight Services,,DIP,United Kingdom,N
Direccion General de Aviacion Civil y Telecomunicasciones,,ENA,Spain,N
Direct Air,,DIA,United States,N
Direct Air trading as Midway Connection,,XAP,United States,N
Direct Flight,,DCT,United Kingdom,N
Sky Express,,SXP,Poland,N
Dirgantara Air Service,AW,DIR,Indonesia,N
Discover Air,,DCV,United States,N
Discovery Airways,DH,DVA,United States,N
Dispatch Services,,XDS,United States,N
Dix Aviation,,DIX,Germany,N
Dixie Airways,,DEE,United States,N
Djibouti Airlines,D8,DJB,Djibouti,Y
Dniproavia,,UDN,Ukraine,Y
Flying Dolphin Airlines,,FDN,United Arab Emirates,N
Dolphin Express Airlines,,IXX,United States,N
Dome Petroleum,,DPL,Canada,N
Dominguez Toledo (Grupo Mayoral),,MYO,Spain,N
Dominicana de Aviaci,DO,DOA,Dominican Republic,Y
Domodedovo Airlines,E3,DMO,Russia,Y
Don Avia,,DVB,Kazakhstan,N
Donair Flying Club,,DON,United Kingdom,N
DonbassAero,5D,UDC,Ukraine,Y
Dorado Air,,DAD,Dominican Republic,N
Dornier,,DOR,Germany,N
Dornier Aviation Nigeria,,DAV,Nigeria,N
Dos Mundos,,DOM,Dominican Republic,N
Dragonair,KA,HDA,DRAGON,Y
Dreamcatcher Airways,,DCA,United Kingdom,N
Druk Air,KB,DRK,Bhutan,Y
Drummond Island Air,,DRE,United States,N
Dubai Airwing,,DUB,United Arab Emirates,N
Dubrovnik Air,,DBK,Croatia,Y
Ducair,,DUK,Luxembourg,N
Duchess of Britany (Jersey) Limited,,DBJ,United Kingdom,N
UK Royal/HRH Duke of York,,LPD,United Kingdom,N
Dun'Air,,DUN,Mauritania,N
Duncan Aviation,,PHD,United States,N
Dunyaya Bakis Hava Tasimaciligi,,VVF,Turkey,N
Duo Airways,,DUO,United Kingdom,N
Durango Jet,,DJE,Mexico,N
Dutch Antilles Express,,DNL,Netherlands Antilles,Y
Dutch Caribbean Express,,DCE,Netherlands Antilles,N
Dutchbird,,DBR,Netherlands,N
Dwyer Aircraft Services,,DFS,United States,N
Dynair Services,,XDY,United States,N
Dynamair Aviation,,DNR,Canada,N
Dynamic Air,,DYE,Netherlands,N
dba,DI,BAG,Germany,Y
E H Darby Aviation,,EHD,United States,N
Electronic Data Systems,1C,,Switzerland,N
Electronic Data Systems,,1Y,,N
EAA Escola De Aviacao Aerocondor,,EAD,Portugal,N
Executive Airlines Services,,EXW,Nigeria,N
EFAOS- Agencia De Viagens e Turismo,,EFS,Angola,N
EFD Eisele Flugdienst,,EFD,Germany,N
EFS-Flugservice,,FSD,Germany,N
EIS Aircraft,,EIS,Germany,N
EPAG Groupe Air France,,IAG,France,N
ESI Eliservizi Italiani,,ESI,Italy,N
EU Airways,,EUY,Ireland,N
EUjet,VE,EUJ,Ireland,N
EVA Air,BR,EVA,Taiwan,Y
Eagle Aero,,ICR,United States,N
Eagle Air,,EGR,Sierra Leone,N
Eagle Air,H7,,Uganda,Y
Eagle Air Company,,EGX,Thailand,N
Eagle Air Iceland,,FEI,Iceland,N
Eagle Aviation,,EGU,Uganda,N
Eagle Aviation,,GYP,United Kingdom,N
Eagle Aviation France,,EGN,France,N
Eagle International,,SEG,Senegal,N
Eagle Jet Charter,,EGJ,United States,N
Eaglemed (Ballard Aviation),,EMD,United States,N
Earth Airlines Services,,ERX,Nigeria,N
East African,QU,UGX,Uganda,Y
East African Safari Air,S9,HSA,Kenya,N
East African Safari Air Express,,EXZ,Kenya,N
East Asia Airlines,,EMU,Macao,N
East Coast Airways,,ECT,South Africa,N
East Coast Jets,,ECJ,United States,N
East Hampton Aire,,EHA,United States,N
East Kansas City Aviation,,EKC,United States,N
East Midlands Helicopters,,CTK,United Kingdom,N
East Star Airlines,,DXH,China,N
East-West Airlines,,EWA,Australia,N
Eastern Air,,EAZ,Zambia,N
Eastern Air Executive,,EAX,United Kingdom,N
Eastern Airways,T3,EZE,United Kingdom,Y
Eastern Australia Airlines,,EAQ,Australia,N
Eastern Carolina Aviation,,ECI,United States,N
Eastern Executive Air Charter,,GNS,United Kingdom,N
Eastern Express,,LIS,Kazakhstan,N
Eastern Metro Express,,EME,United States,N
Eastern Pacific Aviation,,EPB,Canada,N
Eastern Sky Jets,,ESJ,United Arab Emirates,N
Eastland Air,DK,ELA,Australia,Y
Eastwind Airlines,W9,SGR,United States,N
Easy Link Aviation Services,,FYE,Nigeria,N
Eckles Aircraft,,CMN,United States,N
Eclipse Aviation,,EJT,United States,N
Eco Air,,ECQ,Nigeria,N
Ecoair,,DEI,Algeria,N
Ecomex Air Cargo,,ECX,Angola,N
Ecotour,,ECD,Mexico,N
Ecoturistica de Xcalak,,XCC,Mexico,N
Ecuatoguineana De Aviacion (EGA),,ECV,Equatorial Guinea,N
Ecuatorial Cargo,,EQC,Equatorial Guinea,N
Ecuavia,,ECU,Ecuador,Y
Edelweiss Air,WK,EDW,Switzerland,Y
Edgartown Air,,SLO,United States,N
Edinburgh Air Charter,,EDC,United Kingdom,N
Edwards Jet Center of Montana,,EDJ,United States,N
Efata Papua Airlines,,EIJ,Indonesia,N
Egyptair,MS,MSR,Egypt,Y
Egyptair Cargo,,MSX,Egypt,N
Egyptian Air Force,,EGY,Egypt,N
Egyptian Aviation,,EJX,Egypt,N
Egyptian Aviation Company,,EMA,Egypt,N
Ei Air Exports,,EIX,Ireland,N
Eirjet,,EIR,Ireland,N
El Al Israel Airlines,LY,ELY,Israel,Y
El Caminante Taxi Aereo,,CMX,Mexico,N
El Quilada International Aviation,,GLQ,Sudan,N
El Sal Air,,ELS,El Salvador,N
El Sol De America,,ESC,Venezuela,N
El-Buraq Air Transport,UZ,BRQ,Libya,Y
Elan Express,,ELX,United States,N
Elbe Air Transport,,LBR,Germany,N
Elbrus-Avia Air Enterprise,,NLK,Russia,N
Eldinder Aviation,,DND,Sudan,N
Elicar,,PDV,Italy,N
Elidolomiti,,EDO,Italy,N
Elieuro,,ELB,Italy,N
Elifriulia,,EFG,Italy,N
Elilario Italia,,ELH,Italy,N
Elilombarda,,EOA,Italy,N
Elimediterranea,,MEE,Italy,N
Elios,,VUL,Italy,N
Elipiu',,IEP,Italy,N
Elisra Airlines,,RSA,Sudan,N
Elite Air,,EAI,Togo,N
Elite Jets,,EJD,United Arab Emirates,N
Elitellina,,FGS,Italy,N
Elliott Aviation,,ELT,United States,N
Elmagal Aviation Services,,MGG,Sudan,N
Elrom Aviation and Investments,,ELR,Israel,N
Embassy Airlines,,EAM,Nigeria,N
Embassy Freight Company,,EFT,United States,N
Empresa Brasileira De Aeronautica,,EMB,Brazil,N
Embry-Riddle Aeronautical University,,XSL,United States,N
Emerald Airways,,JEM,United Kingdom,N
Emery Worldwide Airlines,,EWW,United States,N
Emetebe,,EMT,Ecuador,N
Emirates,EK,UAE,United Arab Emirates,Y
Emoyeni Air Charter,,SBC,South Africa,N
Empire Air Service,,EMP,United States,N
Empire Airlines,EM,CFS,United States,N
Empire Aviation Services,,MPR,Nigeria,N
Empire Test Pilots' School,,ETP,United Kingdom,N
Empresa (Aero Uruguay),,AUO,UNIFORM OSCAR,N
Empresa Aero-Servicios Parrague,,PRG,Chile,N
Empresa Aerocaribbean,,CRN,Cuba,N
Empresa Aviacion Interamericana,,VNA,Uruguay,N
Empresa Ecuatoriana De Aviacion,EU,EEA,Ecuador,Y
Empresa Nacional De Servicios Aereos,,CNI,Cuba,N
Empresa Venezolana,,VNE,Venezuela,N
Empresa de Aviacion Aerogaviota,,GTV,Cuba,N
Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,,XLT,Brazil,N
Endecots,,ENC,Ecuador,N
Enimex,,ENI,Estonia,N
Enkor JSC,G8,ENK,Russia]],N
Enrique Gleisner Vivanco,,EGV,Chile,N
Ensenada Vuelos Especiales,,ESE,Mexico,N
Entergy Services,,ENS,United States,N
Enterprise World Airways,,EWS,Democratic Republic of the Congo,N
Eos Airlines,E0,ESS,United States,N
Equaflight Service,,EKA,Republic of the Congo,N
Equatair Air Services (Zambia),,EQZ,Zambia,N
Equatorial Airlines,,EQT,Equatorial Guinea,N
Era Helicopters,,ERH,United States,N
Eram Air,,IRY,Iran,N
Erfoto,,ERF,Portugal,N
Erie Airways,,ERE,United States,N
Eritrean Airlines,B8,ERT,Eritrea,Y
Escuela De Pilotos Are Aviacion,,CTV,Spain,N
Espace Aviation Services,,EPC,Democratic Republic of the Congo,N
Esso Resources Canada,,ERC,Canada,N
Estafeta Carga Aerea,E7,ESF,Mexico,N
Estonian Air,OV,ELL,Estonia,Y
Estrellas Del Aire,,ETA,Mexico,N
Ethiopian Airlines,ET,ETH,Ethiopia,Y
Eti 2000,,MJM,Italy,N
Etihad Airways,EY,ETD,United Arab Emirates,Y
Etram Air Wing,,ETM,Angola,N
Euraviation,,EVN,Italy,N
Euro Continental AIE,,ECN,Spain,N
Euro Exec Express,RZ,,Sweden,Y
Euro Sun,,ESN,Turkey,N
Euro-Asia Air,,EAK,Kazakhstan,N
Euro-Asia Air International,,KZE,Kazakhstan,N
EuroAtlantic Airways,,MMZ,Portugal,N
EuroJet Aviation,,GOJ,United Kingdom,N
Euroair,,EUP,Greece,N
Euroamerican Air,,EUU,Uruguay,N
Euroceltic Airways,,ECY,United Kingdom,N
Eurocontrol,,EUC,Belgium,N
Eurocopter,,ECF,France,N
Eurocypria Airlines,UI,ECA,Cyprus,Y
Eurofly,,EEZ,Italy,N
Eurofly Service,GJ,EEU,Italy,Y
Euroguineana de Aviacion,,EUG,Equatorial Guinea,N
Eurojet Italia,,ERJ,Italy,N
Eurojet Limited,,JLN,Malta,N
Eurojet Romania,,RDP,Romania,N
Eurojet Servis,,EJS,Czech Republic,N
Eurolot,K2,ELO,Poland,Y
Euromanx Airways,3W,EMX,Austria,N
Europe Air Lines,,GED,France,N
Europe Airpost,,FPO,France,N
European 2000 Airlines,,EUT,Malta,N
European Aeronautical Group UK,,EAG,United Kingdom,N
European Air Express,EA,EAL,Germany,Y
European Air Transport,QY,BCS,Belgium,N
European Aviation Air Charter,E7,EAF,United Kingdom,N
European Business Jets,,EBJ,United Kingdom,N
European Coastal Airlines,,ECB,Croatia,N
European Executive,,ETV,United Kingdom,N
European Executive Express,,EXC,Sweden,N
Eurosense,,EBG,Bulgaria,N
Euroskylink,,ESX,United Kingdom,N
Eurowings,EW,EWG,Germany,Y
Evergreen International Airlines,EZ,EIA,United States,Y
Everts Air Alaska/Everts Air Cargo,,VTS,United States,N
Examiner Training Agency,,EMN,United Kingdom,N
Excel Airways,JN,XLA,United Kingdom,Y
Excel Charter,,XEL,United Kingdom,Y
Excellent Air,,GZA,Germany,N
Execair Aviation,MB,EXA,Canada,N
Execujet Charter,,VCN,Switzerland,N
Execujet Middle East,,EJO,United Arab Emirates,N
Execujet Scandinavia,,VMP,Denmark,N
Executive Aerospace,,EAS,South Africa,N
Executive Air,,LFL,Zimbabwe,N
Executive Air Charter,,EAC,United States,N
Executive Air Fleet,,XAF,United States,N
Executive Aircraft Charter and Charter Services,,ECS,Ireland,N
Executive Aircraft Services,,XAH,United Kingdom,N
Executive Airlines,OW,EXK,United States,N
Executive Airlines,,EXU,Spain,N
Executive Aviation Services,,JTR,United Kingdom,N
Executive Flight,,EXE,United States,N
Executive Flight Operations Ontario Government,,TRI,Canada,N
Executive Jet Charter,,EXJ,United Kingdom,N
Executive Jet Management,,EJM,United States,N
Executive Turbine Aviation,,TEA,South Africa,N
Eximflight,,EXF,Mexico,N
Exin,,EXN,Poland,N
Expertos En Carga,,EXR,Mexico,N
Expo Aviation,8D,EXV,Sri Lanka,N
Express Air,,FXA,United States,N
Express International Cargo,,EIC,S,N
Express Line Aircompany,,XPL,United States,N
Express Net Airlines,,XNA,United States,N
Express One International,EO,LHN,United States,Y
Express Tours,,XTO,Canada,N
ExpressJet,XE,BTA,United States,Y
Exxavia Limited,,JTM,Ireland,N
easyJet,U2,EZY,United Kingdom,Y
NetJets,,EJA,United States,N
F.S. Air Service,,EYE,United States,N
FAI Airservice,,IFA,Germany,N
FINFO Flight Inspection Aircraft,,FLC,United States,N
FLM Aviation Mohrdieck,,FKI,Germany,N
FLTPLAN,,DCM,United States,N
FLowair Aviation,,FLW,France,N
FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,,FMG,Germany,N
FR Aviation,,FRA,United Kingdom,N
FSB Flugservice & Development,,FSB,Germany,N
FSH Luftfahrtunternehmen,,LEJ,Germany,N
Fab Air,,FBA,Kyrgyzstan,N
Facts Air,,FCS,Mexico,N
Fair Aviation,,FAV,South Africa,N
Fair Wind Air Charter,,FWD,United Arab Emirates,N
Fairlines,,FLS,Netherlands,N
Fairoaks Flight Centre,,FFC,United Kingdom,N
Fairways Corporation,,FWY,United States,N
Falcon Air,,FCN,Sweden,N
Falcon Air,,FAR,Slovenia,N
Falcon Air Express,,FAO,United States,N
Falcon Airline,,FAU,Nigeria,N
Falcon Aviation,IH,,Sweden,N
Falcon Aviation Services,,FVS,United Arab Emirates,N
Falcon Jet Centre,,FJC,United Kingdom,N
Falwell Aviation,,FAW,United States,N
Far Eastern Air Transport,EF,EFA,Taiwan,Y
Farmingdale State University,,FDL,United States,N
Farnair Hungary,,FAH,Hungary,N
Farnair Netherlands,,FRN,Netherlands,N
Farnair Switzerland,,FAT,Switzerland,N
Farnas Aviation Services,,RAF,Sudan,N
Faroecopter,,HBL,Denmark,N
Faroejet,F6,RCK,Faroe Islands,N
Farwest Airlines,,FRW,United States,N
Faso Airways,F3,FSW,Burkina Faso,N
Fast Helicopters,,FHL,United Kingdom,N
Fayban Air Services,,FAY,Nigeria,N
Fayetteville Flying Service and Scheduled Skyways System,,SKM,United States,N
Federal Air,,FDR,South Africa,N
Federal Airlines,,FLL,Sweden,N
Federal Armed Forces,,DCN,Germany,N
Federal Armored Service,,FRM,United States,N
Federal Aviation Administration,,NHK,United States,N
Federal Express,FX,FDX,United States,N
Feniks Airline,,FNK,Kazakhstan,N
Feria Aviacion,,FER,Spain,N
Fika Salaama Airlines,N8,HGK,Uganda,N
