IATA,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Time Zone
LOO,Laghouat Airport,Laghouat,Algeria,33.76440048,2.928339958,2510,1,N,Africa/Algiers
TMX,Timimoun Airport,Timimoun,Algeria,29.2371006,0.276033014,1027,1,N,Africa/Algiers
OGX,Ain el Beida Airport,Ouargla,Algeria,31.91720009,5.412779808,492,1,N,Africa/Algiers
IAM,In Aménas Airport,Zarzaitine,Algeria,28.0515,9.64291,1847,1,N,Africa/Algiers
COO,Cadjehoun Airport,Cotonou,Benin,6.357230186,2.384350061,19,1,N,Africa/Porto-Novo
OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242,1037,0,N,Africa/Ouagadougou
BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.16009998,-4.33096981,1511,0,N,Africa/Ouagadougou
ACC,Kotoka International Airport,Accra,Ghana,5.6051898,-0.166786,205,0,N,Africa/Accra
TML,Tamale Airport,Tamale,Ghana,9.557189941,-0.863214016,553,0,N,Africa/Accra
-,Wa Airport,Wa,Ghana,10.08269978,-2.507689953,1060,0,N,Africa/Accra
NYI,Sunyani Airport,Sunyani,Ghana,7.361830235,-2.328759909,1014,0,N,Africa/Accra
TKD,Takoradi Airport,Takoradi,Ghana,4.89605999,-1.774760008,21,0,N,Africa/Accra
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,21,0,N,Africa/Abidjan
BYK,Bouaké Airport,Bouake,Cote d'Ivoire,7.738800049,-5.07366991,1230,0,N,Africa/Abidjan
DJO,Daloa Airport,Daloa,Cote d'Ivoire,6.792809963,-6.473189831,823,0,N,Africa/Abidjan
HGO,Korhogo Airport,Korhogo,Cote d'Ivoire,9.387180328,-5.556660175,1214,0,N,Africa/Abidjan
MJC,Man Airport,Man,Cote d'Ivoire,7.272069931,-7.587359905,1089,0,N,Africa/Abidjan
SPY,San Pedro Airport,San Pedro,Cote d'Ivoire,4.746719837,-6.660820007,26,0,N,Africa/Abidjan
ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,6.903170109,-5.365580082,699,0,N,Africa/Abidjan
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161,7.263169765,1123,1,N,Africa/Lagos
AKR,Akure Airport,Akure,Nigeria,7.246739864,5.301010132,1100,1,N,Africa/Lagos
BNI,Benin Airport,Benin,Nigeria,6.316979885,5.599500179,258,1,N,Africa/Lagos
CBQ,Margaret Ekpo International Airport,Calabar,Nigeria,4.976019859,8.347200394,210,1,N,Africa/Lagos
ENU,Akanu Ibiam International Airport,Enugu,Nigeria,6.474269867,7.56196022,466,1,N,Africa/Lagos
-,Gusau Airport,Gusau,Nigeria,12.1717,6.69611,1520,1,N,Africa/Lagos
IBA,Ibadan Airport,Ibadan,Nigeria,7.362460136,3.978329897,725,1,N,Africa/Lagos
ILR,Ilorin International Airport,Ilorin,Nigeria,8.440210342,4.493919849,1126,1,N,Africa/Lagos
JOS,Yakubu Gowon Airport,Jos,Nigeria,9.639829636,8.869050026,4232,1,N,Africa/Lagos
KAD,Kaduna Airport,Kaduna,Nigeria,10.6960001,7.320109844,2073,1,N,Africa/Lagos
KAN,Mallam Aminu International Airport,Kano,Nigeria,12.0476,8.52462,1562,1,N,Africa/Lagos
MIU,Maiduguri International Airport,Maiduguri,Nigeria,11.85529995,13.08090019,1099,1,N,Africa/Lagos
MDI,Makurdi Airport,Makurdi,Nigeria,7.70388,8.61394,371,1,N,Africa/Lagos
LOS,Murtala Muhammed International Airport,Lagos,Nigeria,6.577370167,3.321160078,135,1,N,Africa/Lagos
MXJ,Minna Airport,Minna,Nigeria,9.652170181,6.462259769,834,1,N,Africa/Lagos
PHC,Port Harcourt International Airport,Port Hartcourt,Nigeria,5.015490055,6.949590206,87,1,N,Africa/Lagos
SKO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.91629982,5.207190037,1010,1,N,Africa/Lagos
YOL,Yola Airport,Yola,Nigeria,9.25755024,12.43039989,599,1,N,Africa/Lagos
ZAR,Zaria Airport,Zaria,Nigeria,11.1302,7.68581,2170,1,N,Africa/Lagos
MFQ,Maradi Airport,Maradi,Niger,13.50249958,7.126749992,1240,1,N,Africa/Niamey
NIM,Diori Hamani International Airport,Niamey,Niger,13.4815,2.18361,732,1,N,Africa/Niamey
THZ,Tahoua Airport,Tahoua,Niger,14.8757,5.265359879,1266,1,N,Africa/Niamey
AJY,Mano Dayak International Airport,Agadez,Niger,16.9659996,8.000109673,1657,1,N,Africa/Niamey
-,Dirkou Airport,Dirkou,Niger,18.96870041,12.86870003,1273,1,N,Africa/Niamey
-,Diffa Airport,Diffa,Niger,13.37290001,12.6267004,994,1,N,Africa/Niamey
ZND,Zinder Airport,Zinder,Niger,13.77900028,8.98375988,1516,1,N,Africa/Niamey
MIR,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,35.7580986,10.75469971,9,1,E,Africa/Tunis
TUN,Tunis Carthage International Airport,Tunis,Tunisia,36.85100174,10.22719955,22,1,E,Africa/Tunis
-,Sidi Ahmed Air Base,Bizerte,Tunisia,37.245398,9.79145,20,1,E,Africa/Tunis
-,Remada Air Base,Remada,Tunisia,32.30619812,10.38210011,1004,1,E,Africa/Tunis
GAF,Gafsa Ksar International Airport,Gafsa,Tunisia,34.42200089,8.822500229,1060,1,E,Africa/Tunis
GAE,Gabès Matmata International Airport,Gabes,Tunisia,33.87689972,10.10330009,26,1,E,Africa/Tunis
-,Borj El Amri Airport,Bordj El Amri,Tunisia,36.72129822,9.943149567,110,1,E,Africa/Tunis
DJE,Djerba Zarzis International Airport,Djerba,Tunisia,33.875,10.7755003,19,1,E,Africa/Tunis
EBM,El Borma Airport,El Borma,Tunisia,31.70429993,9.254619598,827,1,E,Africa/Tunis
SFA,Sfax Thyna International Airport,Sfax,Tunisia,34.7179985,10.69099998,85,1,E,Africa/Tunis
TOE,Tozeur Nefta International Airport,Tozeur,Tunisia,33.93970108,8.110560417,287,1,E,Africa/Tunis
LRL,Niamtougou International Airport,Niatougou,Togo,9.76733017,1.091249943,1515,0,N,Africa/Lome
LFW,Lomé-Tokoin Airport,Lome,Togo,6.165609837,1.254510045,72,0,N,Africa/Lome
ANR,Antwerp International Airport (Deurne),Antwerp,Belgium,51.18939972,4.460279942,39,1,E,Europe/Brussels
-,Beauvechain Air Base,Beauvechain,Belgium,50.75859833,4.768330097,370,1,E,Europe/Brussels
-,Kleine Brogel Air Base,Kleine Brogel,Belgium,51.168301,5.47,200,1,E,Europe/Brussels
BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,184,1,E,Europe/Brussels
-,Jehonville Air Base,Bertrix,Belgium,49.89170074,5.223889828,1514,1,E,Europe/Brussels
CRL,Brussels South Charleroi Airport,Charleroi,Belgium,50.459202,4.45382,614,1,E,Europe/Brussels
-,Chièvres Air Base,Chievres,Belgium,50.57580185,3.83100009,194,1,E,Europe/Brussels
-,Koksijde Air Base,Koksijde,Belgium,51.09030151,2.652780056,20,1,E,Europe/Brussels
-,Florennes Air Base,Florennes,Belgium,50.24330139,4.645830154,935,1,E,Europe/Brussels
KJK,Wevelgem Airport,Kortrijk-vevelgem,Belgium,50.81719971,3.20472002,64,1,E,Europe/Brussels
LGG,Liège Airport,Liege,Belgium,50.63740158,5.443220139,659,1,E,Europe/Brussels
OST,Ostend-Bruges International Airport,Ostend,Belgium,51.19889832,2.862220049,13,1,E,Europe/Brussels
-,Zutendaal Air Base,Zutendaal,Belgium,50.94749832,5.590559959,312,1,E,Europe/Brussels
-,Brustem Airfield Sint Truiden,Sint-truiden,Belgium,50.791901,5.20167,246,1,E,Europe/Brussels
-,Saint Hubert Air Base,St.-hubert,Belgium,50.03440094,5.440810204,1930,1,E,Europe/Brussels
-,Ursel Air Base,Ursel,Belgium,51.14419937,3.47555995,95,1,E,Europe/Brussels
-,Weelde Air Base,Weelde,Belgium,51.39479828,4.960189819,105,1,E,Europe/Brussels
OBL,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,51.264702,4.75333,53,1,E,Europe/Brussels
-,Flugplatz Bautzen,Bautzen,Germany,51.193611,14.519722,568,1,E,Europe/Berlin
AOC,Altenburg-Nobitz Airport,Altenburg,Germany,50.981945,12.506389,640,1,E,Europe/Berlin
-,Dessau Airfield,Dessau,Germany,51.831694,12.190962,187,1,E,Europe/Berlin
-,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,52.195856,14.58753,144,1,E,Europe/Berlin
-,Großenhain Airport,Suhl,Germany,51.30805588,13.5555563,417,1,E,Europe/Berlin
-,Merseburg Airport,Muehlhausen,Germany,51.3630556,11.9408333,341,1,E,Europe/Berlin
-,Halle-Oppin Airport,Halle,Germany,51.552223,12.053889,348,1,E,Europe/Berlin
IES,Riesa-Göhlis Airport,Riesa,Germany,51.29360962,13.35611057,322,1,E,Europe/Berlin
REB,Rechlin-Lärz Airport,Rechlin-laerz,Germany,53.30638886,12.75222206,220,1,E,Europe/Berlin
-,Strausberg Airport,Strausberg,Germany,52.58055496,13.91666698,262,1,E,Europe/Berlin
QXH,Schönhagen Airport,Schoenhagen,Germany,52.203609,13.156389,152,1,E,Europe/Berlin
BBH,Barth Airport,Barth,Germany,54.338253,12.710515,23,1,E,Europe/Berlin
-,Jena-Schöngleina Airfield,Jena,Germany,50.915279,11.714444,1247,1,E,Europe/Berlin
-,Kyritz Airport,Kyritz,Germany,52.91888809,12.42527771,131,1,E,Europe/Berlin
ZMG,"Magdeburg ""City"" Airport",Magdeburg,Germany,52.073612,11.626389,259,1,E,Europe/Berlin
-,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,51.36333466,14.94999981,518,1,E,Europe/Berlin
-,Anklam Airfield,Anklam,Germany,53.832779,13.668611,16,1,E,Europe/Berlin
CBU,Cottbus-Drewitz Airport,Cottbus,Germany,51.889442,14.531944,272,1,E,Europe/Berlin
-,Kamenz Airport,Kamenz,Germany,51.29694366,14.12749958,495,1,E,Europe/Berlin
SXF,Berlin-Schönefeld Airport,Berlin,Germany,52.380001,13.5225,157,1,E,Europe/Berlin
DRS,Dresden Airport,Dresden,Germany,51.13280106,13.76720047,755,1,E,Europe/Berlin
ERF,Erfurt Airport,Erfurt,Germany,50.97980118,10.95810032,1036,1,E,Europe/Berlin
FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,364,1,E,Europe/Berlin
FMO,Münster Osnabrück Airport,Munster,Germany,52.13460159,7.684830189,160,1,E,Europe/Berlin
HAM,Hamburg Airport,Hamburg,Germany,53.63040161,9.988229752,53,1,E,Europe/Berlin
THF,Berlin-Tempelhof International Airport,Berlin,Germany,52.47299957,13.40390015,167,1,E,Europe/Berlin
CGN,Cologne Bonn Airport,Cologne,Germany,50.86589813,7.142739773,302,1,E,Europe/Berlin
DUS,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,147,1,E,Europe/Berlin
MUC,Munich Airport,Munich,Germany,48.353802,11.7861,1487,1,E,Europe/Berlin
NUE,Nuremberg Airport,Nuernberg,Germany,49.498699,11.078056,1046,1,E,Europe/Berlin
LEJ,Leipzig/Halle Airport,Leipzig,Germany,51.423889,12.236389,465,1,E,Europe/Berlin
SCN,Saarbrücken Airport,Saarbruecken,Germany,49.21459961,7.109509945,1058,1,E,Europe/Berlin
STR,Stuttgart Airport,Stuttgart,Germany,48.68989944,9.221960068,1276,1,E,Europe/Berlin
TXL,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,122,1,E,Europe/Berlin
HAJ,Hannover Airport,Hannover,Germany,52.46110153,9.685079575,183,1,E,Europe/Berlin
BRE,Bremen Airport,Bremen,Germany,53.04750061,8.786669731,14,1,E,Europe/Berlin
QEF,Frankfurt-Egelsbach Airport,Egelsbach,Germany,49.959999,8.645833,384,1,E,Europe/Berlin
HHN,Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.26389,1649,1,E,Europe/Berlin
MHG,Mannheim-City Airport,Mannheim,Germany,49.473057,8.514167,308,1,E,Europe/Berlin
-,Allendorf/Eder Airport,Allendorf,Germany,51.03499985,8.680832863,1158,1,E,Europe/Berlin
-,Worms Airport,Worms,Germany,49.606945,8.368333,295,1,E,Europe/Berlin
-,Mainz-Finthen Airport,Mainz,Germany,49.967499,8.147222,525,1,E,Europe/Berlin
EIB,Eisenach-Kindel Airport,Eisenach,Germany,50.991604,10.47973,1112,1,E,Europe/Berlin
SGE,Siegerland Airport,Siegerland,Germany,50.70769882,8.082969666,1966,1,E,Europe/Berlin
XFW,Hamburg-Finkenwerder Airport,Hamburg,Germany,53.53527832,9.83555603,23,1,E,Europe/Berlin
KEL,Kiel-Holtenau Airport,Kiel,Germany,54.37944412,10.14527798,102,1,E,Europe/Berlin
LBC,Lübeck Blankensee Airport,Luebeck,Germany,53.80540085,10.71920013,53,1,E,Europe/Berlin
-,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,50.40555573,6.528889179,1896,1,E,Europe/Berlin
-,Meinerzhagen Airport,Meinerzhagen,Germany,51.09999847,7.599999905,1549,1,E,Europe/Berlin
-,Arnsberg-Menden Airport,Arnsberg,Germany,51.48389053,7.898333073,794,1,E,Europe/Berlin
ESS,Essen Mulheim Airport,Essen,Germany,51.40230179,6.937329769,424,1,E,Europe/Berlin
BFE,Bielefeld Airport,Bielefeld,Germany,51.964722,8.544444,454,1,E,Europe/Berlin
MGL,Mönchengladbach Airport,Moenchengladbach,Germany,51.230278,6.504444,125,1,E,Europe/Berlin
PAD,Paderborn Lippstadt Airport,Paderborn,Germany,51.61410141,8.616319656,699,1,E,Europe/Berlin
-,Stadtlohn-Vreden Airport,Stadtlohn,Germany,51.99583435,6.840556145,157,1,E,Europe/Berlin
DTM,Dortmund Airport,Dortmund,Germany,51.5182991,7.612239838,425,1,E,Europe/Berlin
AGB,Augsburg Airport,Augsburg,Germany,48.425278,10.931667,1516,1,E,Europe/Berlin
-,Biberach a.d. Riß Airfield,Biberach,Germany,48.111111,9.762778,1903,1,E,Europe/Berlin
-,Eggenfelden Airport,Eggenfelden,Germany,48.39611053,12.72361088,1342,1,E,Europe/Berlin
-,Mindelheim-Mattsies Airfield,Mindelheim,Germany,48.106945,10.525,1857,1,E,Europe/Berlin
OBF,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,48.081402,11.2831,1947,1,E,Europe/Berlin
RBM,Straubing Airport,Straubing,Germany,48.90083313,12.51666737,1047,1,E,Europe/Berlin
-,Vilshofen Airport,Vilshofen,Germany,48.63499832,13.19555569,991,1,E,Europe/Berlin
-,Leutkirch-Unterzeil Airport,Leutkirch,Germany,47.85889053,10.01416683,2100,1,E,Europe/Berlin
FDH,Friedrichshafen Airport,Friedrichshafen,Germany,47.67129898,9.511489868,1367,1,E,Europe/Berlin
SZW,Schwerin Parchim Airport,Parchim,Germany,53.426998,11.7834,166,1,E,Europe/Berlin
-,Stendal-Borstel Airport,Stendal,Germany,52.62888718,11.81861115,184,1,E,Europe/Berlin
-,Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,48.77777863,10.26472187,1916,1,E,Europe/Berlin
BYU,Bayreuth Airport,Bayreuth,Germany,49.985001,11.64,1601,1,E,Europe/Berlin
URD,Burg Feuerstein Airport,Burg Feuerstein,Germany,49.79416656,11.13361073,1673,1,E,Europe/Berlin
HOQ,Hof-Plauen Airport,Hof,Germany,50.28861237,11.85638905,1959,1,E,Europe/Berlin
-,Haßfurt-Schweinfurt Airport,Hassfurt,Germany,50.01805496,10.52944374,719,1,E,Europe/Berlin
-,Koblenz-Winningen Airfield,Koblenz,Germany,50.325558,7.528611,640,1,E,Europe/Berlin
-,Trier-Föhren Airport,Trier,Germany,49.863888,6.7875,666,1,E,Europe/Berlin
-,Speyer Airfield,Speyer,Germany,49.304722,8.451389,312,1,E,Europe/Berlin
ZQW,Zweibrücken Airport,Zweibruecken,Germany,49.2094,7.40056,1132,1,E,Europe/Berlin
ZQL,Donaueschingen-Villingen Airport,Donaueschingen,Germany,47.97333145,8.522221565,2231,1,E,Europe/Berlin
-,Freiburg i. Br. Airport,Freiburg,Germany,48.02277756,7.832499981,801,1,E,Europe/Berlin
-,Mengen-Hohentengen Airport,Mengen,Germany,48.05389023,9.372777939,1818,1,E,Europe/Berlin
-,Adolf Würth Airport,Schwaebisch Hall,Germany,49.11833191,9.783888817,1299,1,E,Europe/Berlin
-,Finsterwalde/Schacksdorf Airport,Soest,Germany,51.607498,13.743611,384,1,E,Europe/Berlin
BWE,Braunschweig-Wolfsburg Airport,Braunschweig,Germany,52.319199,10.5561,295,1,E,Europe/Berlin
KSF,Kassel-Calden Airport,Kassel,Germany,51.417273,9.384967,820,1,E,Europe/Berlin
-,Hildesheim Airport,Hildesheim,Germany,52.18138885,9.946389198,292,1,E,Europe/Berlin
BRV,Bremerhaven Airport,Bremerhaven,Germany,53.506943,8.572778,10,1,E,Europe/Berlin
EME,Emden Airport,Emden,Germany,53.391109,7.2275,3,1,E,Europe/Berlin
-,Leer-Papenburg Airport,Leer,Germany,53.27194214,7.44166708,3,1,E,Europe/Berlin
WVN,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,53.50222015,8.052222252,16,1,E,Europe/Berlin
BMK,Borkum Airport,Borkum,Germany,53.59639,6.709167,3,1,E,Europe/Berlin
NRD,Norderney Airport,Norderney,Germany,53.70694351,7.230000019,7,1,E,Europe/Berlin
FLF,Flensburg-Schäferhaus Airport,Flensburg,Germany,54.7733345,9.378889084,131,1,E,Europe/Berlin
-,Rendsburg-Schachtholm Airport,Rendsburg,Germany,54.22000122,9.599444389,23,1,E,Europe/Berlin
GWT,Westerland Sylt Airport,Westerland,Germany,54.91320038,8.340470314,51,1,E,Europe/Berlin
-,Ämari Air Base,Armari Air Force Base,Estonia,59.26029968,24.20849991,65,2,E,Europe/Tallinn
KDL,Kärdla Airport,Kardla,Estonia,58.99079895,22.83069992,18,2,E,Europe/Tallinn
URE,Kuressaare Airport,Kuressaare,Estonia,58.22990036,22.5095005,14,2,E,Europe/Tallinn
EPU,Pärnu Airport,Parnu,Estonia,58.41899872,24.4727993,47,2,E,Europe/Tallinn
TLL,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,59.41329956,24.83279991,131,2,E,Europe/Tallinn
TAY,Tartu Airport,Tartu,Estonia,58.30749893,26.69039917,219,2,E,Europe/Tallinn
ENF,Enontekio Airport,Enontekio,Finland,68.36260223,23.42429924,1005,2,E,Europe/Helsinki
-,Eura Airport,Eura,Finland,61.11610031,22.20140076,259,2,E,Europe/Helsinki
KEV,Halli Airport,Halli,Finland,61.856039,24.786686,479,2,E,Europe/Helsinki
HEM,Helsinki Malmi Airport,Helsinki,Finland,60.25460052,25.0428009,57,2,E,Europe/Helsinki
HEL,Helsinki Vantaa Airport,Helsinki,Finland,60.31719971,24.9633007,179,2,E,Europe/Helsinki
-,Hameenkyro Airport,Hameenkyro,Finland,61.68970108,23.07369995,449,2,E,Europe/Helsinki
-,Hanko Airport,Hanko,Finland,59.84889984,23.08359909,20,2,E,Europe/Helsinki
HYV,Hyvinkää Airfield,Hyvinkaa,Finland,60.65439987,24.8810997,430,2,E,Europe/Helsinki
-,Kiikala Airport,Kikala,Finland,60.46250153,23.65250015,381,2,E,Europe/Helsinki
-,Immola Airport,Immola,Finland,61.24919891,28.90369987,338,2,E,Europe/Helsinki
KTQ,Kitee Airport,Kitee,Finland,62.1661,30.073601,364,2,E,Europe/Helsinki
IVL,Ivalo Airport,Ivalo,Finland,68.6072998,27.40530014,481,2,E,Europe/Helsinki
JOE,Joensuu Airport,Joensuu,Finland,62.66289902,29.60750008,398,2,E,Europe/Helsinki
JYV,Jyvaskyla Airport,Jyvaskyla,Finland,62.3995018,25.67830086,459,2,E,Europe/Helsinki
KAU,Kauhava Airport,Kauhava,Finland,63.127102,23.051399,151,2,E,Europe/Helsinki
KEM,Kemi-Tornio Airport,Kemi,Finland,65.77870178,24.58209991,61,2,E,Europe/Helsinki
KAJ,Kajaani Airport,Kajaani,Finland,64.28549957,27.69239998,483,2,E,Europe/Helsinki
KHJ,Kauhajoki Airport,Kauhajoki,Finland,62.46250153,22.39310074,407,2,E,Europe/Helsinki
KOK,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,63.72119904,23.14310074,84,2,E,Europe/Helsinki
-,Kemijarvi Airport,Kemijarvi,Finland,66.712898,27.156799,692,2,E,Europe/Helsinki
KAO,Kuusamo Airport,Kuusamo,Finland,65.98760223,29.23940086,866,2,E,Europe/Helsinki
KTT,Kittilä Airport,Kittila,Finland,67.7009964,24.84679985,644,2,E,Europe/Helsinki
KUO,Kuopio Airport,Kuopio,Finland,63.00709915,27.79780006,323,2,E,Europe/Helsinki
QLF,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,61.144199,25.693501,502,2,E,Europe/Helsinki
